"","Station","Cons","bottom","day","time.start","time.end","duration","sst10","depth.ctd"
"1","3PN_1",40,55,"17-08-21",2021-08-17 18:03:31,2021-08-17 18:13:31,10,16.4360142857143,38.447
"2","3PN_10",36,170,"17-08-21",2021-08-17 12:14:37,2021-08-17 12:25:25,10.8,14.03064,39.361
"3","3PN_11",37,216,"17-08-21",2021-08-17 14:10:55,2021-08-17 14:22:19,11.4,13.912875,41.489
"4","3PN_12",38,232,"17-08-21",2021-08-17 16:00:13,2021-08-17 16:12:13,12,17.1631888888889,39.425
"5","3PN_13",41,234,"17-08-21",2021-08-17 20:28:13,2021-08-17 20:38:25,10.2,17.0529166666667,41.522
"6","3PN_14",55,240,"19-08-21",2021-08-19 10:10:13,2021-08-19 10:20:49,10.6,17.7457777777778,45.784
"7","3PN_15",54,198,"19-08-21",2021-08-19 06:05:55,2021-08-19 06:17:55,12,17.63612,46.542
"8","3PN_16",50,155,"18-08-21",2021-08-18 18:52:25,2021-08-18 19:03:55,11.5,17.6962785714286,50.764
"9","3PN_17",48,269,"18-08-21",2021-08-18 16:15:07,2021-08-18 16:25:43,10.6,17.5707111111111,45.092
"10","3PN_17",49,269,"18-08-21",2021-08-18 16:35:01,2021-08-18 16:46:25,11.4,17.548075,35.396
"11","3PN_18",62,192,"19-08-21",2021-08-19 23:56:43,2021-08-20 00:07:37,10.9,16.4052615384615,42.813
"12","3PN_19",61,253,"19-08-21",2021-08-19 22:16:31,2021-08-19 22:28:07,11.6,15.82371875,38.584
"13","3PN_2",42,57,"17-08-21",2021-08-17 23:48:55,2021-08-17 23:57:55,9,15.7018,40.089
"14","3PN_20",60,229,"19-08-21",2021-08-19 20:40:49,2021-08-19 20:52:13,11.4,18.0906666666667,39.9
"15","3PN_21",56,156,"19-08-21",2021-08-19 12:09:37,2021-08-19 12:20:37,11,18.37608,46.482
"16","3PN_22",53,178,"19-08-21",2021-08-19 02:19:55,2021-08-19 02:32:01,12.1,18.40796,41.205
"17","3PN_23",51,320,"18-08-21",2021-08-18 21:06:25,2021-08-18 21:18:07,11.7,18.2751409090909,39.589
"18","3PN_24",59,84,"19-08-21",2021-08-19 18:56:07,2021-08-19 19:07:55,11.8,17.4033615384615,52.445
"19","3PN_25",57,123,"19-08-21",2021-08-19 14:02:37,2021-08-19 14:14:31,11.9,19.0149263157895,42.732
"20","3PN_26",52,296,"19-08-21",2021-08-19 00:01:43,2021-08-19 00:14:31,12.8,18.2524529411765,37.444
"21","3PN_27",58,234,"19-08-21",2021-08-19 16:03:25,2021-08-19 16:14:55,11.5,18.2304285714286,49.861
"22","3PN_3",43,190,"18-08-21",2021-08-18 02:35:01,2021-08-18 02:46:07,11.1,13.4262722222222,41.212
"23","3PN_4",44,86,"18-08-21",2021-08-18 04:41:49,2021-08-18 04:52:19,10.5,14.1969055555556,34.842
